DATE,Unemployment
2020-02-01,4.0
2020-03-01,4.5
2020-04-01,13.5
2020-05-01,10.1
2020-06-01,10.3
2020-07-01,10.3
2020-08-01,6.7
2020-09-01,6.6
2020-10-01,6.1
2020-11-01,6.1
2020-12-01,6.4
2021-01-01,6.6
2021-02-01,6.7
2021-03-01,6.1
2021-04-01,6.0
2021-05-01,6.2
2021-06-01,6.6
2021-07-01,5.7
2021-08-01,4.7
2021-09-01,3.8
